"pair","verdict","source","url","publication_year","underlying_data_vintage","evidence_class","what_it_states","figure","metric_identity","loss_basis","denominator","geography_population","loss_pathway","exact_pair_specificity","subsystem","caveats"
"hurricane / tropical cyclone × utility-scale solar PV","IN_GEN1","kWh loss-database slide, FM/ARRAY deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","2012–2025, US","R1","Hurricane = 4.24% of loss dollars in the kWh solar loss database","4.24%","Peril share of ground-up loss dollars","ground-up","portfolio loss amount ($1.5bn)","US","physical damage","exact-pair","n.a.","US-only portfolio"
"hurricane / tropical cyclone × utility-scale solar PV","IN_GEN1","FEMA MAT Report, Hurricanes Irma and Maria in Puerto Rico","https://www.fema.gov/sites/default/files/2020-07/mat-report_hurricane-irma-maria-puerto-rico_2.pdf","2018/2020","Sept 2017 event; 2014–2017-vintage arrays","R5/R6","Reden Solar, Humacao (2×20 MW), ~140 mph: ~75% of Phase 2 panels and ~25% of Phase 1 panels damaged or removed; Oriana 1, Isabela, ~90 mph: ~10% of panels; PR Convention Center carport, San Juan, ~140 mph: <5% of panels, no structural damage. Failures concentrated at single-bolt hat-clip connections; detached panels became wind-borne debris causing successive row failures","75% / 25% / 10% / <5%","Damage ratio as % of panels damaged or removed, by site and estimated wind speed","n.a. (physical count)","panel count","Puerto Rico, 3 sites","physical damage","exact-pair (ground-mounted PV; one site is carport)","","panel-count damage ratio ≠ $ damage ratio; single event; ASCE 7-16 gives no ground-mount PV wind criteria"
"hurricane / tropical cyclone × utility-scale solar PV","IN_GEN1","PR Energy Resiliency Working Group report","https://www.governor.ny.gov/sites/default/files/atoms/files/PRERWG_Report_PR_Grid_Resiliency_Report.pdf","2017/2018","Sept 2017 event","R5","""Of the five solar facilities, at least one solar farm had extensive damage to a large portion of the panels which will need replacement""; estimated repair cost $40m for solar farm repairs; 9–12 months to repair/replace","$40m","Estimated repair cost","repair cost estimate","repair $","Puerto Rico, 5 utility-scale PV plants","physical damage","exact-pair","PV panels","estimate; not an insured loss"
"hurricane / tropical cyclone × utility-scale solar PV","IN_GEN1","FM Data Sheet 7-106","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/07-hazards/fmds07106.pdf","2012, rev. April 2026","underlying vintage not disclosed","R1","""avoid locating ground-mounted solar panels in regions prone to tropical storms (such as hurricanes, typhoons and cyclones ...) and where exposed to large windborne debris""; large debris likely at design wind speed ≥120 mph, or 110–120 mph within one mile of an ocean coast","≥120 mph; 110–120 mph + 1 mile","Prescriptive siting-avoidance thresholds","n.a.","n.a.","global","physical damage","exact-pair","modules; connections","strongest single statement that the market treats this pair as a distinct, priced/avoided exposure"
"hurricane / tropical cyclone × utility-scale solar PV","IN_GEN1 (contradicting)","The Invading Sea / Orlando Sentinel, citing FPL earnings call and T&D World","https://www.theinvadingsea.com/2024/12/17/solar-farms-utilities-hurricane-helene-milton-florida-power-and-light-duke-energy-resilience/","2024","Hurricanes Helene and Milton, autumn 2024","R4","Less than 0.05% of nearly 16 million solar panels across 66 FPL sites affected by the storms were damaged, ""none significantly"", despite >$1bn of grid damage; Duke's Lake Placid site was damaged by an EF2 tornado in Milton's outer bands, not core winds, and resumed generation in four days","<0.05% of ~16m panels","Damage ratio as % of panels damaged","n.a. (physical count)","panel count","Florida, 66 sites","physical damage","exact-pair","PV panels","opinion piece relaying utility disclosure; strong evidence that modern code-compliant US PV has very low hurricane damage ratios"
"hail × onshore wind farm","DEGRADATION_CANDIDATE","Pryor & Barthelmie, Hail as a damage vector for renewable energy, iScience","https://pmc.ncbi.nlm.nih.gov/articles/PMC12811466/","2025 (collection Jan 2026)","ASOS 1-min precipitation + NEXRAD MESH/POH, 2005–2022 (18 yr), 883 stations","R6","Mean blade-coating lifetime 21 yr (CR1); >1/3 of stations <18 yr; hail contributes a mean 28% of 18-yr accumulated distance-to-failure nationally and 38% in the south-central region where 44% of US wind capacity (>74 GW) sits; at the SGP exemplar site hail >40%; omitting hail overestimates coating lifetime by up to 50%; LEE reduces AEP by 1–4% on average, up to 25% in extreme cases; blade replacement >$200,000 plus ~7 days lost production; erosion-safe mode during the 1,000 most erosive 5-min hail events (<0.05% of time) extends coating life from 9.8 to 14.8 yr","28%; 38%; 21 yr; 1–4% AEP; >$200k; +5 yr","Fractional contribution to accumulated damage index (ADF); coating lifetime in years; AEP loss %; component replacement cost","n.a. (not an insurance basis)","accumulated damage fraction; AEP; per-blade cost","CONUS; 3 MW WINDPACT reference turbine","degradation (cumulative erosion) → component replacement","exact-pair","blade leading edge / coating; also nacelle-top instrumentation","modelled, not incurred; explicitly conservative (excludes hail hardness)"
"hail × onshore wind farm","DEGRADATION_CANDIDATE","FM Data Sheet 13-10","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/13-mechanical/fmds1310.pdf","2012, interim revision October 2025","underlying vintage not disclosed","R1","""The impact of hail stones on wind turbines can cause damage to rotor blades, exposed wind-monitoring instrumentation ... and possibly parts of the nacelle enclosure. Severe hail impacts could cause potentially cause blade delamination over prolonged periods of time ... This type of long-term damage is difficult to detect."" Recommends hail protection for sensors and blades verified against hailstorm exposure. October 2025 changes include: ""Removed recommendations for hail protection""","no figure","Hazard characterisation; prescriptive guidance","n.a.","n.a.","global onshore","degradation (prolonged-period delamination)","exact-pair","rotor blades; anemometers/vanes; nacelle enclosure","insurer explicitly frames the pathway as cumulative, not sudden catastrophic; and de-emphasised hail protection in Oct 2025"
"hail × onshore wind farm","DEGRADATION_CANDIDATE","AXIS Capital, Solar vs Hail","https://axiscapital.foleon.com/thought-leadership/solarvshail/what-the-claims-data-is-telling-us","2025","closed claims 2019–2025","R1","AXIS describes itself as ""an established global insurer of onshore renewables"" and publishes a full hail claims breakdown for **solar PV only**; no hail claims series for wind is presented","none","n.a.","n.a.","n.a.","global","n.a.","evidence of absence for the exact pair","","absence in a source that would report it if material"
"hail × onshore wind farm","DEGRADATION_CANDIDATE","kWh Analytics, Solar Risk Assessment 2025","https://kwhanalytics.com/wp-content/uploads/2025/06/Solar-Risk-Assessment-2025.pdf","2025","loss database","R1","Report covers solar, wind and battery assets; the hail articles and the 73%/6% loss-share statistic are stated for solar PV; no hail loss share is given for wind","none","n.a.","n.a.","n.a.","US","n.a.","evidence of absence for the exact pair","","absence in a source covering both asset classes"
"wildfire × onshore wind farm","INSUFFICIENT_EVIDENCE","FM Data Sheet 13-10","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/13-mechanical/fmds1310.pdf","2012, rev. October 2025","underlying vintage not disclosed","R1","""Wildfires can cause thermal damage to land-based wind turbine farms, particularly the collector substations and rotor blades, which are typically made from fiber-reinforced plastic (FRP). Turbine support towers, typically made of steel or sometimes concrete, have not been known to experience significant structural damage from wildfire exposure."" Requires 500 ft clearance for forest/woodland exposure and a 195 ft base clearance for brush/grassland, with up to 45 ft added for low hub-height-minus-rotor-radius geometry","500 ft; 195 ft (+0 to 45 ft)","Prescriptive clearance-zone thresholds; hazard characterisation","n.a.","n.a.","global onshore","physical damage","exact-pair","collector substation; rotor blades (FRP); towers explicitly excluded","insurer states towers not known to be significantly damaged; no loss quantum"
"wildfire × onshore wind farm","INSUFFICIENT_EVIDENCE","Swiss Re, Wind farms","https://www.swissre.com/dam/jcr:dd24316a-aab5-446a-9758-7d58215e24df/Windfarms+Harvesting+energy+on+shaky+grounds+EN.pdf","2017","underlying vintage not disclosed","R1","""Natural catastrophe coverage protects your farm against damage resulting from storms, floods, earthquakes or wildfires""","no figure","Coverage-scope statement","n.a.","n.a.","global","physical damage + delayed start-up","exact-pair (coverage exists)","n.a.","coverage availability, not loss experience"
"wildfire × onshore wind farm","INSUFFICIENT_EVIDENCE","GCube via Insurance Journal","https://www.insurancejournal.com/news/national/2021/07/20/623476.htm","2021","a decade of claims data (≈2011–2020)","R2","""wildfire is a growing source of loss for both wind and solar power producers and insurers""; but the quantified ~50% extreme-weather claims share is stated for **solar**, and the March report finding is that ""solar projects have most frequently been damaged by wildfire, compared to flooding for wind projects""","none for wind","Qualitative attribution","n.a.","n.a.","US","physical damage","asset-class-mixed statement; the quantified part is solar-only","","actively assigns the dominant wind pathway to flood, not wildfire"
"wildfire × onshore wind farm","INSUFFICIENT_EVIDENCE","FM large-loss table, FM/ARRAY deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","2020, 2023 events","R4","The two wildfire entries in FM's large renewable-loss list are annotated ""(mainly solar)""","n.a.","Event attribution","insured (paid)","n.a.","California / Pacific NW","physical damage","evidence of absence for the exact pair","","wind not identified as the loss-bearing asset class"
"wildfire × onshore wind farm","INSUFFICIENT_EVIDENCE (contradicting)","BBC News, Crews called back to scene of major Moray wildfire","https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-48051279","2019","April 2019 event","R4","Fire burned >20 square miles of grassland at/near Paul's Hill (28 turbines) and Berry Burn wind farms; the operator's UK operations manager ""said the wind turbines themselves were not affected due to having metal bases"", firefighters diverted risk from the building where electricity is routed, and the wind farm was temporarily depowered as a precaution","0 turbines damaged","Damage count; outage cause","n.a.","turbine count","Moray, Scotland","business interruption (precautionary depowering) only","exact-pair","tower base; electrical building","one event; UK grassland fire, not US wildland fire"
"flood × onshore wind farm","INSUFFICIENT_EVIDENCE","Allianz Commercial, Claims activity in the age of greening","https://commercial.allianz.com/news-and-insights/expert-risk-articles/global-risk-dialogue-2025-net-zero-transition-claims.html","2025","recent claim; date not disclosed","R1","""we recently had a claim where heavy rain and floods caused damage and delays for an onshore wind project in construction, affecting access roads, foundations, and earthworks""; also notes new claims from floods in Australia and Germany","no figure","Named claim existence","n.a.","n.a.","global","physical damage + delay","exact-pair, construction phase","","no quantum"
"flood × onshore wind farm","INSUFFICIENT_EVIDENCE","GCube via Insurance Journal","https://www.insurancejournal.com/news/national/2021/07/20/623476.htm","2021","decade of claims data (≈2011–2020)","R2","""solar projects have most frequently been damaged by wildfire, compared to flooding for wind projects""","no figure","Peril ranking by frequency","n.a.","n.a.","global","physical damage","exact-pair, frequency only","","frequency ranking with no severity or share"
"flood × onshore wind farm","INSUFFICIENT_EVIDENCE","GCube via Claims Journal, Arrested Development","https://www.claimsjournal.com/news/national/2024/09/19/326185.htm","2024","global construction claims 2013–2022; $275m onshore CAR/DSU","R2","Nat cat/weather = 48% of onshore renewables construction losses; flooding and heavy rainfall = 18% of claims by frequency but 46% of total claims cost","48%; 18%; 46%","Peril share of loss severity; claim-frequency share; claim-cost share","not stated","onshore renewables construction claim cost","global","physical damage + DSU","asset-class-mixed (onshore wind + solar)","","cannot be attributed to wind alone; construction only"
"flood × onshore wind farm","INSUFFICIENT_EVIDENCE","GCube (Fraser McLachlan) in Windpower Engineering","https://www.windpowerengineering.com/catastrophic-insurance-for-wind-farms-2/","2011","Katrina 2005 and unspecified ""recent events in the U.S.""","R2/R4","""Wind-farm flood exposures are relatively rare because most turbines are generally installed on ridge lines, mesas, or mountain slopes ... However, heavy rains on project sites can erode access roads and scour earth from around turbine foundations. Recent events in the U.S. have resulted in complete turbine collapse."" Katrina flooding (wind-driven water) damaged a Gulf Coast wind farm under construction","complete collapse (unquantified)","Qualitative severity; damage state","n.a.","n.a.","US","physical damage","exact-pair","access roads; foundations (scour); turbine collapse","2011 vintage; no counts, no dollars, no event named"
"flood × onshore wind farm","INSUFFICIENT_EVIDENCE (contradicting)","FM Data Sheet 13-10","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/13-mechanical/fmds1310.pdf","2012, rev. October 2025","underlying vintage not disclosed","R1","""Flood damage is not currently a common hazard for most land-based wind farms; but as wind farms become more prevalent, flood may become more of a concern, particularly at coastal locations."" Hazards listed: inundation (collector substation, tower base equipment), wave action and surface flow (undermining foundations), flood-borne debris. Recommends locating turbines outside known flood zones; scour/erosion protection; foundation design allowing for soil saturation","no figure","Hazard characterisation; prescriptive siting guidance","n.a.","n.a.","global onshore","physical damage","exact-pair","collector substation; tower-base equipment; foundations","insurer states the pair is not currently a common hazard"
